city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
1,33,1,1,1,12,not acept,not furnished,552,"4,150",95,53,"4,850"
1,400,4,4,3,-,acept,not furnished,Sem info,"9,000",542,136,"9,678"
1,170,2,1,0,1,acept,furnished,0,"2,481",0,26,"2,507"
1,90,1,1,0,-,acept,not furnished,0,"2,200",109,34,"2,343"
1,184,3,4,3,12,acept,not furnished,"2,700","1,400",692,18,"4,810"
1,117,2,2,1,11,not acept,furnished,630,"7,130",150,91,"8,001"
1,11,1,1,0,-,not acept,furnished,0,"1,181",0,15,"1,196"
0,57,1,1,1,2,acept,not furnished,605,800,66,11,"1,482"
1,16,1,1,0,1,not acept,not furnished,0,850,30,11,891
1,180,4,3,1,4,acept,furnished,"1,572","5,000",240,64,"6,876"
1,250,3,4,2,16,acept,not furnished,"3,300","6,000",517,77,"9,894"
1,220,3,4,2,-,acept,furnished,0,"7,000",434,106,"7,540"
1,360,3,5,4,22,acept,not furnished,"2,398","3,135","1,467",40,"7,040"
1,122,3,4,3,5,acept,not furnished,Incluso,"4,500",0,58,"4,558"
1,138,3,4,3,2,not acept,not furnished,790,"7,000",690,89,"8,569"
1,110,3,1,1,1,acept,not furnished,"1,235","1,400",0,18,"2,653"
1,220,4,3,3,3,acept,not furnished,"1,600","3,400",0,44,"5,044"
1,118,3,2,1,11,not acept,not furnished,"1,116","4,775",185,61,"6,137"
1,180,2,2,1,15,acept,not furnished,"1,800","5,350",0,68,"7,218"
1,52,2,1,1,7,acept,not furnished,540,"1,300",63,17,"1,920"
1,30,1,1,0,1,acept,furnished,0,"1,550",21,20,"1,591"
1,160,3,3,2,5,acept,furnished,"1,650","1,500",419,20,"3,589"
0,209,3,3,2,-,not acept,not furnished,593,"2,550",237,39,"3,419"
1,450,5,5,6,-,acept,not furnished,0,"9,500","1,345",143,"10,990"
1,117,3,3,3,10,acept,not furnished,"2,280","2,300",700,30,"5,310"
1,900,4,6,8,-,acept,not furnished,0,"15,000","4,417",226,"19,640"
1,200,3,3,0,-,acept,not furnished,Sem info,"4,500",71,68,"4,639"
